maxordQty,handlingDays,name,Brand,Origin,Supplier,Cat,storeStock,retailPrice,LowerSugar,TransFat,LactoseFree
51.0,0.0,Best Foods Mayonnaise,Best Foods,Malaysia,JOO KOON DC,Condiments,119.0,4.45,No,No,No
51.0,0.0,FairPrice Thailand Rice - Glutinous,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",140.0,6.6,No,No,No
51.0,0.0,Bake King Flours - Bread (High Protein),Bake King,Singapore,JOO KOON DC,Baking Needs,178.0,3.35,No,No,No
51.0,0.0,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,Fairprice,Thailand,no info,"Rice, Noodles & Cooking Ingredients",240.0,5.25,No,No,No
51.0,0.0,Tai Hua Dark Soy Sauce - Standard (Big),Tai Hua,Singapore,JOO KOON DC,Condiments,83.0,2.7,No,No,No
99999.0,4.0,Harukaze Koshihikari Japonica Short Grain Rice,Harukaze,Vietnam,no info,Rice,276.0,14.99,No,Yes,No
51.0,0.0,Carnation Evaporated Milk - Low Fat,Carnation,Thailand,no info,Sugar & Sweeteners,381.0,1.85,Yes,No,No
51.0,0.0,Oki Premium Sunflower Oil,Oki,Singapore,no info,Oil,196.0,7.75,Yes,No,No
51.0,0.0,Lingham's Chili Sauce (Squeeze Bottle),Lingham'S,Malaysia,JOO KOON DC,Condiments,119.0,3.0,No,No,No
51.0,0.0,Flying Man Brand Corn Flour,Flying Man Brand,China,JOO KOON DC,Baking Needs,284.0,0.7,No,No,No
51.0,0.0,Flying Man Brand Tapioca Starch,Flying Man Brand,Thailand,JOO KOON DC,Baking Needs,171.0,1.2,No,No,No
51.0,0.0,SIS White Sugar - Fine Grain,Sis,Australia,JOO KOON DC,Sugar & Sweeteners,144.0,3.5,No,No,No
51.0,0.0,Kimball Sauce - Thai Chili,Kimball,Malaysia,JOO KOON DC,Condiments,121.0,1.15,No,No,No
51.0,0.0,Singlong Korean Sweet Potato Vermicelli,Sing Long,China,no info,Noodles,184.0,1.5,No,No,No
51.0,0.0,Lee Kum Kee Oyster Sauce - Dried Scallop,Lee Kum Kee,Hong Kong,JOO KOON DC,Condiments,78.0,7.5,No,No,No
51.0,0.0,Knorr Stock Cubes - Ikan Bilis,Knorr,Malaysia,no info,Soups,121.0,2.9,Yes,No,No
51.0,0.0,Lee Kum Kee Minced Garlic - Freshly,Lee Kum Kee,China,JOO KOON DC,Seasonings,103.0,3.7,No,No,No
51.0,0.0,Knife Brand Groundnut Oil,Knife Brand,Malaysia,JOO KOON DC,Oil,102.0,10.95,Yes,Yes,No
0.0,3.0,Jin Huang Thai Jasmine Fragrant Rice,Jin Huang,Thailand,no info,Rice,85.0,27.2,No,No,No
51.0,0.0,Bake King Baking Powder,Bake King,Singapore,JOO KOON DC,Baking Needs,171.0,1.35,No,No,No
51.0,0.0,Marigold Lady General Sweetened Condensed Milk - Full Cream,Marigold,Singapore,JOO KOON DC,Sugar & Sweeteners,317.0,1.6,No,No,No
51.0,0.0,SIS White Sugar - Coarse Grain,Sis,Thailand,JOO KOON DC,Sugar & Sweeteners,139.0,1.9,No,No,No
51.0,0.0,Knorr Seasoning Powder - Chicken (No Added MSG),Knorr,Malaysia,JOO KOON DC,Soups,139.0,3.4,No,No,No
51.0,0.0,Heinz Vinegar - Distilled White,Heinz,USA,JOO KOON DC,Condiments,113.0,2.6,No,No,No
51.0,0.0,Rice Field 100% Pure Rice Bran Oil ,Rice Field,Thailand,JOO KOON DC,Oil,136.0,21.35,Yes,Yes,No
51.0,0.0,Barilla Pasta Sauce - Basilico,Barilla,Italy,no info,Cooking Paste & Sauces,287.0,4.75,No,Yes,Yes
51.0,0.0,Pasar Raw Peanuts,Pasar,China,CONFECTIONARY & WINE WH,"Rice, Noodles & Cooking Ingredients",113.0,1.8,No,No,No
51.0,0.0,SIS White Sugar - Fine Grain,Sis,Australia,JOO KOON DC,Sugar & Sweeteners,204.0,4.9,No,No,No
51.0,0.0,CJ Bibigo Korean BBQ Sauce - Original,Cj,South Korea,no info,Condiments,136.0,4.4,No,Yes,No
51.0,0.0,Barilla Pasta - Fusili,Barilla,Italy,no info,Pasta,132.0,2.85,No,No,No
51.0,0.0,FairPrice India Ponni Rice - Parboiled ,Fairprice,India,RICE - TRADING,"Rice, Noodles & Cooking Ingredients",139.0,8.3,No,No,No
51.0,0.0,Double Pagoda Sesame Oil - Pure,Double Pagoda,Singapore,no info,Oil,120.0,4.0,Yes,No,No
51.0,0.0,FairPrice Premium Quality Fine Salt,Fairprice,China,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",205.0,0.42,No,No,No
51.0,0.0,Swanson Pork Bone Broth,Swanson,China,JOO KOON DC,Soups,216.0,3.9,No,Yes,No
51.0,0.0,FairPrice Vegetable Oil,Fairprice,Singapore,no info,"Rice, Noodles & Cooking Ingredients",212.0,5.75,No,Yes,No
51.0,0.0,Knife Brand Cooking Oil,Knife Brand,Malaysia,JOO KOON DC,Oil,149.0,4.75,No,No,No
51.0,0.0,Naturel Cooking Oil - Canola,Naturel,Malaysia,JOO KOON DC,Oil,128.0,4.9,Yes,No,No
51.0,0.0,Maggi Chili Sauce ,Maggi,Malaysia,JOO KOON DC,Condiments,119.0,1.65,No,No,No
37.0,0.0,Borges Olive Oil - Pure,Borges,Spain,JOO KOON DC,Oil,431.0,27.9,Yes,No,No
51.0,0.0,FairPrice Basmati Rice,Fairprice,India,no info,"Rice, Noodles & Cooking Ingredients",134.0,8.9,No,No,No
51.0,0.0,Greatwall Brand Vinegar - Black,Greatwall,China,JOO KOON DC,Condiments,164.0,1.8,No,No,No
51.0,0.0,FairPrice Thailand Rice - White,Fairprice,Thailand,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",205.0,6.2,No,No,No
51.0,0.0,KCT Soya Sauce - Light (Standard),Kct,Singapore,no info,Condiments,161.0,2.5,Yes,No,No
51.0,0.0,Del Monte 100% Natural Tomato Paste,Del Monte,USA,JOO KOON DC,Cooking Paste & Sauces,143.0,1.25,No,No,No
51.0,0.0,Obento Panko Bread Crumbs,Obento,South Korea,JOO KOON DC,Baking Needs,89.0,1.9,No,No,No
51.0,0.0,Budget White Rice - Long Grain,Budget,Vietnam,no info,"Rice, Noodles & Cooking Ingredients",193.0,5.8,No,No,No
51.0,0.0,Pasar Dried China Barley,Pasar,China,CONFECTIONARY & WINE WH,"Rice, Noodles & Cooking Ingredients",162.0,1.85,No,No,No
51.0,0.0,Saf-Instant Dry Baker's Yeast,Saf,France,JOO KOON DC,Baking Needs,121.0,2.15,No,No,No
51.0,0.0,Knife Brand Cooking Oil - Groundnut,Knife Brand,Malaysia,JOO KOON DC,Oil,106.0,14.95,Yes,No,No
51.0,0.0,KCT Soya Sauce - Light (Best),Kct,Singapore,no info,Condiments,196.0,3.6,Yes,No,No
51.0,0.0,Sam Lock Egg Noodles,Sam Lock,Singapore,JOO KOON DC,Noodles,99.0,1.15,No,No,No
51.0,0.0,Nestle Coffeemate Creamer - Stickpack,Nestle,Thailand,JOO KOON DC,Coffee,237.0,3.6,No,No,No
0.0,0.0,Lee Kum Kee Superior LightSoySauce+SeasonedSoySauce,Lee Kum Kee,Malaysia,JOO KOON DC,Condiments,140.0,4.8,No,No,No
51.0,0.0,Royal India Basmati Rice - Extra Long,Royalindia,India,TONG SENG PRODUCE PTE LTD,Rice,81.0,19.8,Yes,No,No
51.0,0.0,Pansalt Lower Sodium Mineral Salt,Pansalt,Finland,JOO KOON DC,Seasonings,91.0,3.8,Yes,No,No
51.0,0.0,Pasar Rock Sugar - Honey,Pasar,Malaysia,no info,"Rice, Noodles & Cooking Ingredients",147.0,2.55,No,No,No
51.0,0.0,Tong Hai Shao Hsing Cooking Hua Tiao Chiew,Tong Hai,China,JOO KOON DC,Condiments,189.0,3.6,No,No,No
51.0,0.0,Pagoda Unrefined Dry Demerara Sugar,Pagoda,Mauritius,JOO KOON DC,Sugar & Sweeteners,141.0,2.25,No,No,No
